id,title,score,type,eps,year
ap_143,Mushoku Tensei: Jobless Reincarnation,4.2,TV,11,2021
ap_144,The Case Study of Vanitas: Part II,4.2,TV,12,2022
ap_145,Detective Conan Movie 14: The Lost Ship in the Sky,4.2,Movie,1 ep,2010
ap_146,Attack on Titan The Final Season PV,4.2,Web,1 ep,2020
ap_147,Love Through a Prism,4.2,Web,20,2026
ap_148,Hunter x Hunter OVA,4.2,OVA,8,2002
ap_149,The Ancient Magus' Bride,4.2,TV,24,2017 - 2018
ap_150,Mobile Suit Gundam: Iron Blooded Orphans 2nd Season,4.2,TV,25,2016 - 2017
ap_151,JoJo's Bizarre Adventure: Phantom Blood,4.2,Movie,1 ep,2007
ap_152,KonoSuba – God's blessing on this wonderful world! 2,4.2,TV,10,2017
ap_153,Gintama,4.2,TV,201,2006 - 2010
ap_154,Owarimonogatari,4.2,TV,12,2015
ap_155,Skip Beat!,4.2,TV,25,2008 - 2009
ap_156,History's Strongest Disciple Kenichi,4.2,TV,50,2006 - 2007
ap_157,Dr. Stone: Ryuusui,4.2,TV Special,1 ep,2022
ap_158,Wotakoi: Love is Hard for Otaku OVA,4.2,OVA,2,2021
ap_159,Nodame Cantabile: Finale,4.2,TV,11,2010
ap_160,PSYCHO-PASS,4.2,TV,22,2012 - 2013
ap_161,The Stranger by the Shore,4.2,Movie,1 ep,2020
ap_162,Aoashi,4.2,TV,24,2022
ap_163,Mobile Suit Gundam 00 Second Season,4.2,TV,25,2008 - 2009
ap_164,Initial D Fourth Stage,4.2,TV,24,2004 - 2006
ap_165,Legend of the Galactic Heroes: Die Neue These Second 3,4.2,Movie,1 ep,2019
ap_166,Hell's Paradise: Jigokuraku Season 2,4.2,TV,4+,2026 - ?
ap_167,Uma Musume: Cinderella Grey - Part II,4.2,TV,10,2025
ap_168,"Haikyuu!! vs. ""Akaten""",4.2,Other,1 ep,2015
ap_169,Saga of Tanya the Evil,4.2,TV,12,2017
ap_170,Puella Magi Madoka Magica,4.2,TV,12,2011
ap_171,Nana,4.2,TV,47,2006 - 2007
ap_172,Summer Wars,4.2,Movie,1 ep,2009
